"id","kjonn","alder","okonomi","polskala","abort"
1,0,55,2,2,4
2,0,53,NA,2,5
5,1,36,2,1,4
7,1,22,2,2,4
9,1,46,3,1,5
10,1,23,2,2,1
11,1,19,2,2,4
13,1,25,2,1,4
17,0,64,2,2,NA
19,1,22,2,2,3
21,1,48,2,2,3
23,0,39,2,2,4
25,1,22,2,1,2
27,1,68,2,6,1
28,1,42,2,1,5
30,1,34,2,1,1
31,0,27,3,2,5
33,0,74,2,2,1
34,0,47,2,5,5
35,0,68,3,2,3
36,1,23,2,1,5
41,1,32,2,1,4
42,0,17,2,1,4
44,1,55,2,2,4
46,1,18,2,1,5
47,0,35,NA,NA,4
49,0,76,2,4,2
50,1,43,2,1,4
51,1,26,2,2,4
52,1,21,2,1,4
59,1,69,2,2,2
62,1,63,3,2,5
66,0,22,1,2,1
67,1,23,2,1,4
69,0,37,3,2,2
72,0,32,1,2,4
73,1,40,2,2,4
76,1,35,3,1,5
77,1,49,3,2,5
81,1,45,2,2,NA
82,1,32,2,2,4
83,0,16,2,1,3
84,1,25,2,2,4
87,1,38,2,6,1
89,0,24,2,1,5
91,1,72,3,3,3
93,1,29,3,5,1
94,1,67,1,2,5
97,0,75,2,5,2
98,0,45,2,2,4
101,0,71,2,4,3
102,1,67,2,1,4
105,0,29,2,1,3
106,1,27,2,1,4
108,1,22,2,1,5
109,1,31,2,2,2
111,0,53,3,5,4
112,1,74,2,4,1
114,1,60,2,1,4
115,1,63,2,1,2
117,NA,27,3,1,5
118,1,30,3,2,NA
119,0,28,1,1,2
120,1,40,3,2,4
122,1,20,2,2,5
123,1,19,3,2,4
124,1,16,3,6,NA
125,1,27,2,2,3
126,1,26,NA,2,4
127,1,34,2,2,5
128,1,32,3,2,4
129,1,29,2,1,4
131,1,39,3,1,2
132,1,49,2,2,4
133,1,41,2,2,3
134,1,21,NA,2,1
136,0,53,3,1,2
137,1,66,3,1,3
138,1,78,3,2,2
139,0,16,2,1,3
141,1,37,2,NA,3
142,0,39,1,3,4
145,1,73,2,1,4
146,1,21,3,1,4
147,1,27,3,2,3
148,1,23,2,1,5
154,1,20,2,1,4
155,1,32,1,1,4
157,1,68,3,2,5
158,0,70,2,2,2
159,0,20,1,1,3
160,1,55,2,2,4
161,1,45,1,2,4
162,1,70,3,NA,NA
163,1,40,2,2,4
164,1,21,2,4,2
165,1,40,2,1,4
167,1,43,2,1,4
169,1,72,2,2,4
171,1,41,2,3,2
172,1,27,2,2,3
177,1,37,2,2,5
181,1,72,2,2,4
182,1,19,2,6,2
183,1,29,2,1,5
184,1,53,2,2,4
185,0,17,3,2,3
187,0,16,2,2,5
188,1,23,2,1,4
190,1,28,3,1,4
191,1,49,2,1,4
192,0,69,2,2,2
193,0,28,2,6,2
194,1,36,2,2,4
197,0,17,3,2,5
198,1,22,2,2,4
202,1,45,2,1,4
203,1,29,3,2,NA
204,0,17,2,1,1
205,1,38,2,2,4
206,NA,76,1,NA,4
207,1,45,2,2,4
208,1,39,NA,2,4
209,1,40,3,2,4
211,0,50,2,2,2
212,1,50,2,1,4
216,0,62,NA,2,NA
218,1,41,3,2,4
219,1,36,3,2,5
220,1,47,3,3,4
221,0,25,2,2,1
222,0,17,2,1,4
225,0,41,2,5,1
226,1,19,1,1,5
229,0,58,2,2,4
230,0,52,3,2,1
232,1,58,2,2,4
234,1,59,3,3,3
237,0,40,2,1,4
239,1,58,2,2,4
240,0,69,2,5,2
242,0,72,2,1,NA
244,0,46,3,1,5
245,1,46,2,3,2
246,0,43,2,2,4
248,1,69,3,2,3
249,0,44,3,2,4
250,0,46,2,2,4
251,0,48,2,3,4
254,0,21,2,5,1
257,0,34,1,2,5
260,0,43,2,1,4
262,0,34,2,2,4
264,0,38,2,2,5
267,1,19,3,1,3
269,1,56,2,2,3
273,0,58,2,3,1
275,1,20,2,1,4
276,0,54,2,2,4
277,1,27,3,1,4
278,1,33,2,2,NA
280,0,44,3,3,NA
288,1,37,2,1,5
291,0,19,2,1,4
292,0,40,2,2,4
293,0,31,2,2,2
294,1,27,2,1,NA
