"","Trust_politicians","vote","happy","gender","house_income"
"1",6,"Yes",6,"Male",6
"2",6,"Yes",5,"Female",2
"3",5,"Yes",10,"Female",2
"4",4,"Yes",7,"Male",1
"5",7,"Yes",7,"Male",3
"6",5,"Yes",8,"Male",8
"7",10,"Yes",8,"Female",3
"8",7,"Not eligible to vote",9,"Male",4
"9",7,"Yes",8,"Male",7
"10",5,"Yes",8,"Female",1
"11",2,"No",7,"Female",2
"12",5,"Yes",10,"Female",7
"13",5,"Yes",7,"Female",9
"14",6,"Yes",9,"Male",9
"15",5,"Yes",10,"Female",6
"16",4,"Yes",7,"Male",6
"17",9,"Yes",10,"Female",4
"18",0,"Yes",8,"Female",2
"19",5,"Yes",10,"Female",7
"20",6,"No",10,"Male",2
"21",5,"Yes",8,"Female",6
"22",6,"No",8,"Male",5
"23",6,"Not eligible to vote",7,"Female",NA
"24",5,"No",7,"Female",1
"25",6,"Yes",7,"Male",3
"26",4,"Yes",8,"Male",3
"27",7,"Not eligible to vote",5,"Male",1
"28",6,"Yes",10,"Male",6
"29",6,"Yes",8,"Male",3
"30",7,"Yes",8,"Male",3
"31",5,"Yes",8,"Female",10
"32",6,"Yes",7,"Female",3
"33",2,"Yes",9,"Female",3
"34",4,"Yes",7,"Female",3
"35",7,"Yes",9,"Female",1
"36",6,"Yes",9,"Male",5
"37",7,"No",8,"Male",8
"38",2,"Not eligible to vote",7,"Male",2
"39",8,"Yes",8,"Male",7
"40",7,"No",7,"Female",3
"41",5,"Yes",7,"Female",1
"42",7,"Not eligible to vote",7,"Female",8
"43",6,"Yes",8,"Male",6
"44",6,"Yes",9,"Male",8
"45",7,"Yes",9,"Male",6
"46",8,"Yes",9,"Male",6
"47",5,"Yes",5,"Female",6
"48",4,"Yes",5,"Female",6
"49",2,"Yes",10,"Male",2
"50",8,"Yes",9,"Male",2
"51",6,"Yes",10,"Male",10
"52",8,"Yes",9,"Female",5
"53",6,"Yes",7,"Female",2
"54",6,"Yes",9,"Female",7
"55",4,"Yes",8,"Female",8
"56",5,"Yes",10,"Female",1
"57",5,"Yes",8,"Male",1
"58",5,"Yes",8,"Female",4
"59",7,"Yes",9,"Female",8
"60",5,"Yes",4,"Male",2
"61",5,"Yes",9,"Female",4
"62",6,"Yes",8,"Male",9
"63",4,"Yes",10,"Female",4
"64",6,"Yes",8,"Female",3
"65",7,"Not eligible to vote",9,"Female",NA
"66",3,"Yes",8,"Male",8
"67",5,"Yes",9,"Female",10
"68",0,"No",8,"Male",6
"69",5,"No",7,"Male",2
"70",5,"Yes",7,"Male",4
"71",4,"Yes",5,"Female",1
"72",8,"Yes",7,"Male",2
"73",4,"No",8,"Male",5
"74",6,"No",8,"Male",2
"75",6,"Yes",6,"Female",2
"76",7,"Yes",9,"Female",7
"77",6,"Yes",7,"Male",3
"78",5,"Yes",5,"Female",2
"79",7,"No",5,"Female",2
"80",6,"Yes",8,"Male",5
"81",6,"Yes",10,"Female",3
"82",5,"No",7,"Female",3
"83",8,"Not eligible to vote",5,"Male",3
"84",4,"Yes",9,"Male",3
"85",5,"Yes",8,"Female",4
"86",7,"Yes",9,"Female",8
"87",4,"Yes",6,"Female",2
"88",3,"Yes",10,"Female",4
"89",7,"Yes",9,"Male",5
"90",4,"Yes",8,"Male",2
"91",6,"Not eligible to vote",10,"Male",4
"92",7,"Not eligible to vote",9,"Female",6
"93",6,"Yes",9,"Male",9
"94",5,"Yes",8,"Female",3
"95",3,"Yes",8,"Male",6
"96",3,"No",8,"Female",NA
"97",2,"Yes",8,"Female",4
"98",4,"Not eligible to vote",7,"Male",5
"99",1,"Yes",8,"Female",5
"100",7,"Yes",8,"Female",9
"101",6,"Yes",7,"Male",5
"102",6,"Yes",6,"Female",3
"103",2,"Yes",8,"Male",2
"104",5,"Yes",8,"Female",3
"105",2,"Yes",10,"Male",4
"106",2,"Not eligible to vote",8,"Female",NA
"107",4,"Yes",8,"Male",6
"108",2,"No",6,"Female",1
"109",6,"Yes",8,"Male",8
"110",5,"Yes",8,"Male",4
"111",3,"No",6,"Female",6
"112",6,"Yes",10,"Female",3
"113",2,"Not eligible to vote",7,"Female",2
"114",5,"Yes",8,"Male",3
"115",6,"Yes",10,"Male",5
"116",3,"No",8,"Female",3
"117",4,"Yes",9,"Male",8
"118",3,"Yes",8,"Female",7
"119",2,"No",2,"Male",1
"120",4,"No",3,"Female",1
"121",NA,"Not eligible to vote",8,"Male",3
"122",3,"Yes",6,"Female",6
"123",5,"Yes",9,"Male",5
"124",2,"No",9,"Female",2
"125",8,"Yes",7,"Male",10
"126",8,"Yes",7,"Female",4
"127",8,"Not eligible to vote",10,"Male",NA
"128",4,"Yes",8,"Male",10
"129",3,"Yes",8,"Female",3
"130",9,"Yes",9,"Male",6
"131",4,"Not eligible to vote",10,"Male",4
"132",6,"Yes",9,"Male",8
"133",9,"Yes",10,"Female",3
"134",7,"Not eligible to vote",7,"Female",9
"135",5,"Not eligible to vote",8,"Male",NA
"136",5,"Yes",4,"Female",1
"137",3,"Yes",8,"Male",7
"138",6,"Yes",8,"Male",2
"139",3,"Yes",4,"Female",2
"140",2,"Yes",10,"Female",9
"141",8,"Yes",8,"Female",1
"142",8,"Yes",10,"Female",1
"143",3,"Yes",10,"Male",5
"144",2,"Yes",7,"Female",4
"145",6,"Yes",7,"Male",8
"146",5,"Yes",9,"Female",4
"147",7,"Not eligible to vote",10,"Male",10
"148",7,"Yes",10,"Female",6
"149",6,"Yes",9,"Female",9
"150",5,"Yes",10,"Male",10
"151",5,"Yes",7,"Female",7
"152",7,"Yes",7,"Male",5
"153",7,"Not eligible to vote",9,"Female",3
"154",7,"Yes",10,"Male",7
"155",1,"Yes",10,"Female",8
"156",6,"Yes",9,"Female",5
"157",7,"Yes",10,"Female",10
"158",3,"Yes",6,"Female",5
"159",5,"Yes",9,"Male",8
"160",8,"Yes",7,"Male",8
"161",5,"Yes",9,"Female",10
"162",7,"Yes",8,"Female",5
"163",5,"Yes",10,"Female",2
"164",7,"Yes",9,"Female",6
"165",6,"Yes",10,"Female",8
"166",7,"Yes",9,"Male",7
"167",6,"Yes",9,"Male",4
"168",4,"Yes",8,"Male",1
"169",6,"No",7,"Male",8
"170",6,"Yes",7,"Male",9
"171",6,"Yes",6,"Male",6
"172",8,"Yes",9,"Female",9
"173",3,"Yes",8,"Male",8
"174",5,"Yes",10,"Female",7
"175",5,"Yes",9,"Female",9
"176",6,"Yes",8,"Female",9
"177",7,"Yes",9,"Male",9
"178",8,"Yes",9,"Male",5
"179",6,"Yes",8,"Female",9
"180",4,"Yes",8,"Male",10
"181",5,"Yes",8,"Male",9
"182",4,"Yes",9,"Female",2
"183",9,"No",8,"Female",10
"184",6,"Yes",9,"Female",8
"185",7,"Yes",9,"Male",5
"186",6,"Yes",7,"Female",7
"187",5,"Yes",5,"Male",3
"188",6,"Yes",9,"Male",6
"189",6,"Yes",10,"Male",4
"190",7,"Yes",8,"Female",4
"191",0,"Not eligible to vote",8,"Male",2
"192",4,"Yes",8,"Male",9
"193",6,"Yes",8,"Female",9
"194",6,"Yes",8,"Male",9
"195",6,"Yes",9,"Male",5
"196",5,"Yes",10,"Female",4
"197",5,"Yes",8,"Female",7
"198",1,"Not eligible to vote",9,"Male",NA
"199",8,"Not eligible to vote",9,"Male",3
