"","country","anti_corrupt","dem_inst_perform","education","expenditure_education","public_service"
"1","Afghanistan",2,3,NA,4.22836017608643,9.89999961853027
"2","Albania",5,6,NA,3.95463991165161,4
"3","Algeria",5,3,72.400002,NA,6
"4","Andorra",NA,NA,NA,3.25670003890991,NA
"5","Angola",2,3,27.6,NA,9.10000038146973
"6","Antigua and Barbuda",NA,NA,NA,NA,3.79999995231628
"7","Azerbaijan",2,2,NA,2.90340995788574,5.40000009536743
"8","Argentina",6,7,NA,5.57217979431152,3.79999995231628
"9","Australia",NA,NA,NA,5.28031015396118,1.5
"10","Austria",NA,NA,NA,5.50069999694824,1.10000002384186
"11","Bahamas",NA,NA,NA,NA,4.59999990463257
"12","Bahrain",4,2,NA,2.32720994949341,1.79999995231628
"13","Bangladesh",3,3,NA,1.53553998470306,8.10000038146973
"14","Armenia",3,3,NA,2.75812005996704,3.59999990463257
"15","Barbados",NA,NA,NA,5.09272003173828,2.70000004768372
"16","Belgium",NA,NA,NA,6.54428005218506,2.29999995231628
"17","Bhutan",9,7,NA,6.802490234375,6.09999990463257
"18","Bolivia",4,7,NA,7.28534984588623,6.80000019073486
"19","Bosnia and Herzegovina",4,4,NA,NA,3.59999990463257
"20","Botswana",8,9,66.199997,NA,7.30000019073486
"21","Brazil",6,7,NA,6.24105978012085,6.40000009536743
"22","Belize",NA,NA,NA,7.12481021881104,5.90000009536743
"23","Solomon Islands",NA,NA,NA,NA,7.69999980926514
"24","Brunei",NA,NA,NA,4.42540979385376,1.79999995231628
"25","Bulgaria",6,7,NA,4.07684993743896,4.40000009536743
"26","Myanmar",3,2,NA,2.16462993621826,8.5
"27","Burundi",2,2,40.5,4.69271993637085,8
"28","Belarus",4,3,NA,4.94654989242554,4.19999980926514
"29","Cambodia",1,2,NA,1.90938997268677,7.80000019073486
"30","Cameroon",3,2,54,2.65423011779785,8.69999980926514
"31","Canada",NA,NA,NA,NA,1.5
"32","Cape Verde",NA,NA,66.599998,5.28879022598267,6
"33","Central African Republic",4,2,9.5,NA,10
"34","Sri Lanka",5,6,NA,3.47508001327515,5.09999990463257
"35","Chad",2,3,21.5,2.85070991516113,9.69999980926514
"36","Chile",9,10,NA,5.35063982009888,4
"37","China",5,1,NA,NA,5.69999980926514
"38","Taiwan",9,9,NA,NA,NA
"39","Colombia",4,7,NA,4.47671985626221,5.90000009536743
"40","Comoros",NA,NA,52.400002,2.48708009719849,8.19999980926514
"41","Congo",2,2,36.299999,4.56147003173828,9.5
"42","Congo, Democratic Republic",2,2,37.700001,2.1186900138855,9.5
"43","Costa Rica",8,7,NA,7.09768009185791,3.90000009536743
"44","Croatia",7,8,NA,4.55695009231567,2.40000009536743
"45","Cuba",5,1,NA,NA,4.09999990463257
"46","Cyprus (1975-)",NA,NA,NA,6.37529993057251,2.5
"47","Czech Republic",8,9,NA,5.58737993240356,2.59999990463257
"48","Benin",4,8,45.900002,3.99468994140625,8.69999980926514
"49","Denmark",NA,NA,NA,7.634850025177,1
"50","Dominica",NA,NA,NA,3.38687992095947,NA
"51","Dominican Republic",3,7,NA,NA,6.30000019073486
"52","Ecuador",4,6,NA,4.99870014190674,6.5
"53","El Salvador",5,7,NA,3.86991000175476,6.40000009536743
"54","Equatorial Guinea",1,1,51.299999,NA,7.90000009536743
"55","Ethiopia (1993-)",2,2,38,4.73791980743408,8.80000019073486
"56","Eritrea",1,1,25.6,NA,8.39999961853027
"57","Estonia",9,10,NA,5.17316007614136,2.90000009536743
"58","Fiji",NA,NA,NA,3.88288998603821,5
"59","Finland",NA,NA,NA,6.89734983444214,1
"60","France (1963-)",NA,NA,NA,5.43259000778198,1.10000002384186
"61","Djibouti",3,3,40.700001,NA,7.90000009536743
"62","Gabon",4,3,21.799999,2.66667008399963,6.69999980926514
"63","Georgia",7,7,NA,3.78477001190186,4.30000019073486
"64","Gambia",4,7,49.900002,2.05945992469788,7.80000019073486
"65","Germany",NA,NA,NA,4.80093002319336,1.10000002384186
"66","Ghana",5,9,63.700001,4.48683023452759,7.80000019073486
"67","Kiribati",NA,NA,NA,NA,NA
"68","Greece",NA,NA,NA,NA,3.79999995231628
"69","Grenada",NA,NA,NA,10.2403602600098,3.79999995231628
"70","Guatemala",4,5,NA,2.83280992507935,7.5
"71","Guinea",5,5,33.200001,2.51799988746643,9.5
"72","Guyana",NA,NA,NA,6.06099987030029,6.19999980926514
"73","Haiti",2,3,NA,2.44958996772766,9.69999980926514
"74","Honduras",3,5,NA,6.30177021026611,6.80000019073486
"75","Hungary",5,6,NA,4.71078014373779,3.20000004768372
"76","Iceland",NA,NA,NA,7.4598798751831,1.20000004768372
"77","India",5,8,NA,3.84467005729675,7.40000009536743
"78","Indonesia",4,6,NA,3.58360004425049,5.90000009536743
"79","Iran",3,2,NA,3.36576008796692,4.5
"80","Iraq",3,3,NA,NA,8.19999980926514
"81","Ireland",NA,NA,NA,3.69855999946594,1.39999997615814
"82","Israel",NA,NA,NA,5.84929990768433,NA
"83","Italy",NA,NA,NA,3.829430103302,2.70000004768372
"84","Cote d'Ivoire",4,6,47.5,5.39422988891602,8.69999980926514
